FeatureID,SRR16805125,SRR16805126,SRR16805127,SRR16805128,SRR16805129,SRR16805130,SRR16805131,SRR16805132,SRR16805133,SRR16805134,SRR16805136,SRR16805137,SRR16805138,SRR16805139,SRR16805140,SRR16805141,SRR16805142,SRR16805143,SRR16805144,SRR16805162,SRR16805163,SRR16805164,SRR16805165,SRR16805166,SRR16805168,SRR16805169,SRR16805171,SRR16805172,SRR16805173,SRR16805174,SRR16805175,SRR16805176,SRR16805177,SRR16805178,SRR16805179,SRR16805180,SRR16805182,SRR16805183,SRR16805184,SRR16805185,SRR16805186,SRR16805187,SRR16805188,SRR16805189,SRR16805190,SRR16805191,SRR16805193,SRR16805194,SRR16805195,SRR16805196,SRR16805197,SRR16805199,SRR16805220,SRR16805222,SRR16805223,SRR16805224,SRR16805225,SRR16805226,SRR16805227,SRR16805228,SRR16805229,SRR16805230,SRR16805231,SRR16805233,SRR16805234,SRR16805235,SRR16805236,SRR16805237,SRR16805353,SRR16805354,SRR16805355,SRR16805356,SRR16805357,SRR16805359,SRR16805360,SRR16805361,SRR16805362,SRR16805363,SRR16805364,SRR16805365,SRR16805366,SRR16805367,SRR16805368,SRR16805370,SRR16805371,SRR16805372,SRR16805373,SRR16805374,SRR16805375,SRR16805376,SRR16805377,SRR16805378,SRR16805379,SRR16805381,SRR16805382,SRR16805383,SRR16805384,SRR16805385,SRR16805386,SRR16805387,SRR16805388,SRR16805389,SRR16805390,SRR16805391,SRR16805392,SRR16805393,SRR16805394,SRR16805396,SRR16805397,SRR16805398,SRR16805399,SRR16805400,SRR16805401,SRR16805402,SRR16805474,SRR16805475,SRR16805476,SRR16805478,SRR16805479,SRR16805480,SRR16805481,SRR16805482,SRR16805483,SRR16805484,SRR16805485,SRR16805486,SRR16805487,SRR16805489,SRR16805490,SRR16805491,SRR16805492,SRR16805493,SRR16805494,SRR16805495,SRR16805496,SRR16805497,SRR16805498,SRR16805500,SRR16805501,SRR16805502
6e1b4cd0e0439553094779ac9026df96,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,112,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,5,11,0,9,0,427,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,13,5,11,7,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59e46e6f286528f175ea073445563787,50,6,6,0,214,20,16,9,28,0,0,0,0,6,0,38,0,0,2,0,0,1,0,0,0,0,0,3,0,99,0,0,0,0,0,53,388,3,8,16,5,7,0,31,0,0,0,0,0,0,19,0,0,0,0,0,35,0,0,77,7,0,0,0,8,0,0,0,0,0,16,9,6,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,207,0,0,12,0,0,0
267e8b13920c943b26e21e73ca849349,7,0,0,0,0,0,0,2,0,0,0,24,0,4,0,6,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,2,3,9,0,2,0,0,0,0,2,0,0,0,0,0,0,4,0,0,32,0,0,0,0,0,0,7,0,3,0,0,4,6,7,0,3,0,6,0,0,0,0,3,6,0,6,0,0,14,8,1,0,0,5,5,9,2,7,0,0,0,0,0,0,0,10,0,2,5,8,8,10,7,0,0,0,3,0,0,0,4,1,0,0,3,0,0,0,0,6,0,1,0,0,0,8,1,0,0
0ee805152355f1bd9d7655eb01965f8b,14,0,0,0,0,0,0,7,19,0,0,2,0,0,5,0,0,0,0,0,8,6,4,0,0,0,41,12,30,2,4,0,6,1,3,0,33,8,1,0,2,0,5,6,0,3,5,0,9,5,0,3,4,8,0,4,0,10,16,5,1,27,0,8,9,3,4,0,3,9,9,2,0,0,6,0,10,2,7,0,11,1,0,11,4,0,0,2,11,0,0,0,0,6,0,0,0,0,0,9,6,0,0,0,0,1,0,0,11,0,0,7,0,0,0,0,2,9,6,9,11,1,10,17,6,7,6,4,24,29,9,10,9,3,10,22,2,6,0,0
20746dc9791f2ea2dddbeb49bcddf76f,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,0,3,5,15,11,15,0,0,3,0,0,0,1,1,4,0,11,1,2,0,17,9,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0
a439fb78d26feb882363973107fae452,36,20,34,4,17,13,78,10,45,0,0,8,8,18,0,19,0,20,0,3,29,7,12,21,0,14,14,0,0,23,2,55,8,0,33,8,53,114,21,0,13,5,6,22,7,10,0,26,33,0,107,68,10,29,12,20,30,26,13,0,9,19,19,75,21,6,22,92,56,22,23,34,81,34,9,46,48,19,8,0,0,21,27,13,9,0,0,0,11,25,0,0,0,0,0,19,8,12,12,22,0,7,0,0,0,0,22,0,0,0,0,6,15,0,0,32,0,44,0,9,0,14,40,0,0,0,0,0,8,0,0,32,8,53,8,0,27,5,0,29
565ac5164ba7a4cd8def08421fd49e6a,4,10,3,0,4,0,0,9,21,9,0,1,0,0,0,3,0,0,0,0,2,0,0,7,0,0,0,2,14,7,3,0,0,0,0,6,0,19,0,8,0,0,0,0,0,1,2,0,0,0,0,0,1,0,4,0,1,4,21,0,2,11,20,5,3,0,0,0,8,1,2,3,0,6,0,2,1,0,3,3,11,6,0,1,2,9,6,0,4,2,0,1,3,1,2,4,3,1,0,16,11,4,6,0,0,1,1,0,0,2,0,0,3,0,0,2,4,2,0,0,0,0,0,7,6,0,0,0,2,2,0,3,0,2,7,3,3,0,1,1
8d5bc99e440b1b7c45eb02cffcbbac3c,0,0,0,0,0,0,0,0,0,0,0,0,5,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,23,0,0,0,0,33,0,0,6,8,0,9,19,0,5,12,0,13,32,0,0,0,0,8,0,0,0,0,11,10,7,6,11,0,0,0,0,0,0,53,0,0,0,0,0,0,3,0,0,0,0,0,0,17,0,0,0,0,0,0
4adc5001718ccc68b7940b98f79eb1ab,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,7,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,1,8,0,0,2,1,11,0,10,1,0,0,0,3,0,0,0,3,4,4,22,6,0,0,0,19,0,5,0,0,1,0,0,1,4,0,0,0,0,23,0,0,0,0,0,0,2,4,0,0,0,3,8,0,0,0,7,0,0,0,0
b616cbae57a8c121e8e568608850af40,0,0,0,0,0,17,0,0,0,0,0,0,7,0,0,0,29,0,0,0,0,0,0,0,0,5,0,0,10,0,0,107,0,0,0,0,0,0,0,3,0,0,18,0,14,0,0,0,0,0,0,0,0,0,12,20,0,0,0,0,0,0,0,0,0,0,0,22,0,25,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
