FeatureID,Abiotrophia.defectiva,Actinobacillus.succinogenes,Actinomyces.bowdenii,Actinomyces.dentalis,Actinomyces.graevenitzii,Actinomyces.massiliensis,Actinomyces.naeslundii,Actinomyces.oralis,Actinomyces.oris,Actinomyces.pacaensis,Actinomyces.viscosus,Agathobacter.rectalis,Aggregatibacter.aphrophilus,Aggregatibacter.segnis,Agromyces.ulmi,Alloprevotella.rava,Alloprevotella.tannerae,Aminipila.terrae,Anaerobacterium.chartisolvens,Anaeroglobus.geminatus,Ancylomarina.longa,Arachnia.propionica,Arachnia.rubra,Bacteroides.heparinolyticus,Bergeyella.cardium,Blautia.wexlerae,Brachymonas.denitrificans,Campylobacter.concisus,Campylobacter.gracilis,Campylobacter.massiliensis,Campylobacter.mucosalis,Candidatus.Peptostreptococcus,Capnocytophaga.bilenii,Capnocytophaga.gingivalis,Capnocytophaga.granulosa,Capnocytophaga.leadbetteri,Capnocytophaga.periodontitidis,Capnocytophaga.sputigena,Cardiobacterium.hominis,Cardiobacterium.valvarum,Catonella.massiliensis,Catonella.morbi,Changpingibacter.yushuensis,Clostridium.transplantifaecale,Corynebacterium.durum,Corynebacterium.matruchotii,Cutibacterium.acnes,Desulfomicrobium.orale,Dialister.invisus,Dialister.pneumosintes,Dysgonomonas.capnocytophagoides,Eikenella.corrodens,Eikenella.halliae,Escherichia.fergusonii,Eubacterium.nodatum,Faecalibacterium.prausnitzii,Filifactor.alocis,Fretibacterium.fastidiosum,Fusobacterium.animalis,Fusobacterium.hwasookii,Fusobacterium.massiliense,Fusobacterium.nucleatum,Fusobacterium.polymorphum,Fusobacterium.pseudoperiodonticum,Fusobacterium.simiae,Fusobacterium.vincentii,Fusobacterium.watanabei,Gemella.morbillorum,Gemella.parahaemolysans,Gemella.sanguinis,Gemella.taiwanensis,Granulicatella.adiacens,Granulicatella.elegans,Guopingia.tenuis,Haemophilus.haemolyticus,Haemophilus.influenzae,Haemophilus.parahaemolyticus,Haemophilus.parainfluenzae,Haemophilus.paraphrohaemolyticus,Haemophilus.pittmaniae,Haemophilus.seminalis,Haemophilus.sputorum,Herbaspirillum.huttiense,Hoylesella.nanceiensis,Hoylesella.pleuritidis,Hoylesella.saccharolytica,Hoylesella.shahii,Hydrogenophilus.thermoluteolus,Kingella.bonacorsii,Kingella.denitrificans,Kingella.potus,Lachnoanaerobaculum.gingivalis,Lachnoanaerobaculum.orale,Lachnoanaerobaculum.saburreum,Lancefieldella.parvula,Lautropia.dentalis,Lautropia.mirabilis,Leptotrichia.buccalis,Leptotrichia.hofstadii,Leptotrichia.hongkongensis,Leptotrichia.massiliensis,Leptotrichia.shahii,Leptotrichia.trevisanii,Leptotrichia.wadei,Ligilactobacillus.salivarius,Marinisporobacter.balticus,Megasphaera.micronuciformis,Metamycoplasma.faucium,Moraxella.equi,Morococcus.cerebrosus,Moryella.indoligenes,NA.,Natranaerovirga.pectinivora,Neisseria.cinerea,Neisseria.elongata,Neisseria.mucosa,Neisseria.oralis,Neisseria.perflava,Neisseria.shayeganii,Neisseria.sicca,Neisseria.subflava,Oceanivirga.miroungae,Olsenella.urininfantis,Oribacterium.sinus,Paracholeplasma.morum,Paraclostridium.sordellii,Parvimonas.micra,Peptidiphaga.gingivicola,Peptococcus.simiae,Peptoniphilus.duerdenii,Peptostreptococcus.stomatis,Perlabentimonas.gracilis,Phocaeicola.vulgatus,Porphyromonas.catoniae,Porphyromonas.endodontalis,Porphyromonas.gingivalis,Porphyromonas.pasteri,Prevotella.aurantiaca,Prevotella.dentalis,Prevotella.denticola,Prevotella.herbatica,Prevotella.histicola,Prevotella.illustrans,Prevotella.intermedia,Prevotella.jejuni,Prevotella.koreensis,Prevotella.melaninogenica,Prevotella.micans,Prevotella.multiformis,Prevotella.nigrescens,Prevotella.pallens,Prevotella.veroralis,Prevotella.vespertina,Pseudocyanosarcina.phycocyania,Pseudoleptotrichia.goodfellowii,Pseudostreptobacillus.hongkongensis,Raoultibacter.timonensis,Rhodoligotrophos.jinshengii,Romboutsia.timonensis,Rothia.aeria,Rothia.dentocariosa,Rothia.mucilaginosa,Ruminiclostridium.cellobioparum,Schaalia.odontolytica,Segatella.baroniae,Segatella.maculosa,Segatella.oris,Segatella.oulorum,Segatella.salivae,Selenomonas.infelix,Selenomonas.noxia,Selenomonas.sputigena,Solobacterium.moorei,Staphylococcus.ratti,Stomatobaculum.longum,Streptococcus.anginosus,Streptococcus.constellatus,Streptococcus.cristatus,Streptococcus.gordonii,Streptococcus.ilei,Streptococcus.intermedius,Streptococcus.mutans,Streptococcus.parasanguinis,Streptococcus.periodonticum,Streptococcus.rubneri,Streptococcus.salivarius,Streptococcus.sanguinis,Streptococcus.sinensis,Streptococcus.toyakuensis,Sulfurihydrogenibium.azorense,Syntrophococcus.sucromutans,Tannerella.forsythia,Tannerella.serpentiformis,Thermodesulfobium.acidiphilum,Treponema.amylovorum,Treponema.denticola,Treponema.lecithinolyticum,Treponema.medium,Treponema.socranskii,Treponema.succinifaciens,Vallitalea.okinawensis,Veillonella.atypica,Veillonella.denticariosi,Veillonella.massiliensis,Veillonella.nakazawae,Veillonella.parvula,Veillonella.rogosae,Veillonella.tobetsuensis,Eubacterium.brachy,Eubacterium.saphenum,Pseudopropionibacterium.massiliense,Group
SRR16805125,0.006,0.000466667,0,0,0,0,0,0.000266667,0.0026,0.000133333,0.002266667,0,0.0114,0.0152,0.000133333,0.002666667,2.00E-04,0.000133333,6.67E-05,0.000266667,0,0,0,4.00E-04,0.000266667,0,0.0044,0.000133333,0.001066667,0.002866667,0,6.67E-05,0.000466667,0,0.0014,0.0012,0,0,0.002066667,0.000733333,0,0.000933333,0.000333333,0.000133333,0.001066667,0.0026,0,0,0.003933333,0.000733333,0.001933333,0,4.00E-04,0,0.000266667,0,0.002133333,4.00E-04,0.001933333,0.031,0,0.001866667,0.0042,0.008333333,0.002133333,0.0072,0.011466667,8.00E-04,0,0.000333333,0.011666667,0.0044,0.0024,0.000266667,0.0054,0.004,0.0024,0.168933333,0.004533333,8.00E-04,0.002466667,0.000266667,0,0.001266667,6.67E-05,0,0.001,0,0.004133333,0,0,8.00E-04,0,0.000533333,4.00E-04,0.002533333,0.0294,0.0128,0.005333333,0.033666667,0.0124,0.0026,0.002066667,0.007466667,2.00E-04,6.67E-05,0,0.000333333,0.001133333,0,6.67E-05,0,0,0.004866667,0.015466667,0.095133333,0.0058,0.0272,2.00E-04,0,0.038733333,0,2.00E-04,0.000666667,0,0,0.000533333,0.000666667,6.67E-05,0.000333333,0.000933333,6.67E-05,0,0.0038,0.0064,0.004866667,0.0026,0,0,0.001533333,0.004933333,0.000466667,0.000333333,0.001733333,0.000466667,0,0.0086,0,8.00E-04,4.00E-04,8.00E-04,0.000466667,0,0,0,0,0,0,0,0.015933333,0.0222,0.007333333,0,0.001533333,0.000266667,0,0,0,0.000266667,0,0,0.000733333,0.000133333,0.000466667,0.000266667,0,2.00E-04,0.0086,0.0022,0.000866667,2.00E-04,2.00E-04,0,0.078666667,0,0.001066667,0.005266667,0,0.018733333,2.00E-04,0.000133333,8.00E-04,0.0016,0,4.00E-04,4.00E-04,0,0.001133333,0,0,0,0.001266667,0.001,0.001,0.02,0.0108,0.0028,0.031733333,0.000466667,0.000533333,0,HC
SRR16805126,0.005733333,6.67E-05,0,0,0,0,0,0,0.003533333,0.000133333,0.003266667,0,0.018733333,0.0192,0.000133333,0.002066667,6.00E-04,6.67E-05,0,6.67E-05,0,0.000133333,0,2.00E-04,6.00E-04,0,0.001733333,0.000466667,0.000533333,0.002333333,0,0,0,0,6.67E-05,0,0,0.000333333,0.000733333,0,0,0.000466667,0.000333333,0,0.001266667,0.001933333,0,0,0.002666667,0.000266667,0.000133333,0.000266667,0.000133333,0,0.000666667,0,0.001866667,0.000133333,0,0.0062,0,0.001,0.0012,0.0024,0.000866667,0.001933333,0.0036,0.000266667,0.000733333,0.000466667,0.007,0.003266667,0.003066667,8.00E-04,0.007533333,0.005,0.013333333,0.2428,0.1296,8.00E-04,0.009866667,0.0014,0,0.000133333,6.67E-05,0,0.000533333,0,0.000866667,0.000533333,0.000333333,0.000333333,0,6.00E-04,0.000133333,0.003933333,0.0232,0,0.001066667,0.003866667,0.000666667,0.000333333,2.00E-04,8.00E-04,0.000533333,0,0,0.000266667,0.000466667,0,0,0.000133333,0,0.0052,0.006933333,0.058466667,0.002933333,0.0336,0.000333333,0,0.038333333,0,6.67E-05,0.000666667,0,0,0.001133333,0.000666667,0.000333333,0.000333333,0.000333333,0,0,0.000466667,0.002466667,0.002666667,0.002666667,0,0,0.000333333,0.002666667,4.00E-04,0,0.002066667,0,0,0.005733333,0,6.67E-05,6.67E-05,2.00E-04,6.67E-05,0.000733333,0,0,0,0,0,0,0.011466667,0.016266667,0.011533333,0,0.000733333,0.000466667,0,0.001,0,0.000333333,0,4.00E-04,4.00E-04,2.00E-04,6.67E-05,4.00E-04,4.00E-04,6.67E-05,0.003666667,0.002133333,8.00E-04,0.000266667,0,0,0.094333333,0,0.000866667,0.007133333,0,0.0268,2.00E-04,0,2.00E-04,0.000333333,0,0.000533333,0.000133333,0,0,0,0.000466667,0.000533333,0.001533333,0,0.000666667,0.006466667,0.0024,8.00E-04,0.007866667,6.67E-05,0.000533333,0,HC
SRR16805127,0.000666667,6.67E-05,0,4.00E-04,0,0,0,0.001133333,0.0036,0.001266667,0.000333333,0,0.007066667,0.009933333,0.003066667,0.0012,0.001266667,6.67E-05,0.0034,0.003666667,6.67E-05,0,0,0.000333333,0.000266667,0,0.000133333,0,0.006066667,0.003,0,0,0,0,0.000533333,2.00E-04,0,0,0.000133333,2.00E-04,0,2.00E-04,0.0018,0,0,0.009,0,0,0.074,0.000533333,0.002133333,0.000733333,0,0,2.00E-04,0,0.000933333,4.00E-04,0.006066667,0.0142,0,0.002733333,0.006066667,0.011866667,0.010466667,0.0064,0.004266667,0.000733333,0,0,0.006266667,0.0034,0.003333333,0.000266667,0.003466667,0.006866667,0.002,0.089466667,0.002533333,6.00E-04,0.0012,0.000466667,0,6.00E-04,0,0.000266667,0.0048,0,6.67E-05,2.00E-04,0.000466667,0.000666667,4.00E-04,0.000866667,0.0012,0.000666667,0.0088,0.003133333,0.0142,0.0096,8.00E-04,0.0052,0.001333333,0.0174,6.67E-05,6.00E-04,0.000733333,0,0.000466667,0,6.67E-05,0,0.003066667,0.002333333,0.0216,0.213333333,0.000666667,0.009333333,2.00E-04,0,0.015,0,0.000266667,0.001333333,0,0,0.000866667,0.000733333,6.00E-04,0.000466667,0.000666667,0,0,4.00E-04,0.002,0.003266667,0.001333333,0,0,0.0106,0.001866667,0,0,0.001,0.000266667,0,0.002333333,0,0.011133333,0.000933333,4.00E-04,0.0022,0,0,6.67E-05,0,0,0,0,0.005666667,0.007466667,0.0028,0,0.001666667,6.67E-05,0,6.00E-04,0,0.000133333,6.00E-04,0.000866667,0.000333333,0.000533333,0,0.0016,0.000933333,6.67E-05,0.003866667,0.006666667,0,0,0.000133333,0,0.044333333,0,0.001,0.003,0,0.0122,6.67E-05,0,4.00E-04,0.004733333,0.002333333,2.00E-04,0,0,0.000266667,0,0,0.000333333,0.021466667,0.0116,4.00E-04,0.014533333,0.009733333,0.000533333,0.0456,0.000133333,4.00E-04,0.000133333,HC
SRR16805128,0.000533333,0,0,0.000133333,0,0,0,0,0.001466667,0,0.003066667,0,0.009333333,0.007666667,6.67E-05,0.004333333,0.000866667,0.000133333,0,0.000866667,0,0,0,0.000266667,0.000266667,0,4.00E-04,6.67E-05,0.000466667,0.002666667,0,0,0,0,2.00E-04,6.67E-05,0,0,2.00E-04,0.000133333,0,0.000333333,0.000533333,0,0.000466667,0.000533333,0,0,0.003533333,0.001066667,0.000266667,0,0,0,0,0,0.000733333,0,0.0024,0.0038,0,4.00E-04,0.004066667,0.004733333,0.003266667,0.007,0.006066667,0.001533333,0,2.00E-04,0.010133333,0.004933333,0.000466667,0.000933333,0.007866667,0.011866667,0.009466667,0.407533333,0.001266667,0.000133333,0.002666667,0.001066667,0,0.0014,0.000133333,0,2.00E-04,0,0,0.000266667,0,0.000333333,0,8.00E-04,0,6.00E-04,0.015266667,0.000733333,0.000933333,0.0014,0.000133333,0.000133333,0.000133333,0.001266667,0,2.00E-04,0,6.67E-05,0,0,0,0.000266667,0,0.0014,0.003066667,0.047266667,0.001133333,0.0028,0,0,0.016933333,0,0,0.000133333,0,0,0.000533333,0,6.67E-05,0,0.000666667,0,0,0.000266667,0.004133333,0.009666667,0.002133333,0,0,2.00E-04,6.00E-04,0,0,8.00E-04,0,0,0.001533333,0,0.0014,0.0012,0,4.00E-04,0,0,0,0,0,0,0,0.009866667,0.0078,0.0052,0,0,0.000666667,0,4.00E-04,0,0.000133333,6.67E-05,0,0,0,0,0,0.000466667,0,0.004733333,0.010733333,0.001533333,0,6.67E-05,0,0.093,0.000933333,0.001733333,0.004866667,0,0.034066667,6.67E-05,0.000266667,0.000266667,0.000533333,0,2.00E-04,0.002133333,0.000133333,0.000266667,0,0,4.00E-04,0.001,0,0.000466667,0.0248,0.001933333,0.000933333,0.058533333,0.000133333,2.00E-04,0,HC
SRR16805129,0.000533333,0,0,2.00E-04,0,6.67E-05,0.001066667,4.00E-04,0.0066,0.001,0.0034,0,0.003266667,0.0034,6.00E-04,0.005266667,0,0.000333333,6.67E-05,6.00E-04,0,0,0,0.000266667,0,0,6.00E-04,0,0.007733333,0.005533333,8.00E-04,0,0,0,0,0,0,0,0.000733333,0.000133333,0,6.67E-05,0.002333333,6.67E-05,0.000333333,0.002066667,0,0,0.003266667,0.000733333,0.003333333,0,0.000333333,0,0.000266667,0,0.002533333,4.00E-04,0.002666667,0.0082,0,0.006066667,0.003666667,0.013133333,0.003133333,0.0272,0.017333333,0.000666667,0.000466667,0.001066667,0.0054,0.0052,0.001066667,0.000733333,0.0026,0.0012,0.001333333,0.063933333,0.001,0.000266667,0.000733333,0.000666667,0,0.003866667,0.000333333,6.67E-05,0.005533333,0,4.00E-04,0,0.000133333,0.000666667,0.000466667,0,0.000666667,0.000866667,0.0154,0.002733333,0.004,0.141866667,0.001,0.000666667,0.0038,0.003466667,0,0,0,6.67E-05,2.00E-04,0,6.67E-05,0,0,0.000666667,0.002733333,0.018933333,8.00E-04,0.017,0,0,0.020866667,0,0,2.00E-04,0,0,0.0012,0.001533333,0,0.0012,6.00E-04,2.00E-04,0,6.67E-05,0.019,0.015733333,0.003,0,0.000333333,6.00E-04,0.029266667,0.0016,0.000666667,0.0014,0.001333333,0,0.014,0,8.00E-04,0.000666667,0.001333333,0.001666667,0.000666667,0,6.67E-05,0,0,0,0,0.006266667,0.049466667,0.008466667,0.000133333,0.002466667,0.000733333,0.000133333,0.0016,0,0.002466667,0,0.000466667,4.00E-04,0,0,0.000266667,0.000533333,0.000266667,0.0116,0.003133333,0.0012,0,0.001066667,4.00E-04,0.109066667,0,0.007133333,0.0094,4.00E-04,0.037266667,0,6.67E-05,0.0012,4.00E-04,0,0.001733333,0.0034,0,0.002466667,0,0,0.000133333,0.006466667,0,0.003466667,0.026533333,0.0162,0.003,0.037333333,0.001066667,0.0022,0,HC
SRR16805130,0.003466667,0,0,0,0,0,0,0,0,0,8.00E-04,0,0.006333333,0.0088,0,0.009533333,0.000266667,0.000333333,2.00E-04,0,0,0,0,2.00E-04,2.00E-04,0.000466667,4.00E-04,0,2.00E-04,0.000133333,0,4.00E-04,0,0,0.0012,0,0,0,0.001066667,0,0,0.000133333,0.000133333,0,4.00E-04,0.000333333,0.000133333,0,0.001066667,2.00E-04,0.000533333,0,0.001933333,0.0072,0,0,0.000933333,0,0,0.003333333,0,0.000466667,0,0.003133333,0,0.000733333,0.0012,0.000466667,0,6.00E-04,0.004866667,0.0032,0.0064,0.000133333,0.0294,0.011733333,0.064466667,0.3222,0.006666667,0.004,0.003333333,0.000333333,0,0.000933333,0,0,0.000666667,0,2.00E-04,0,0.000266667,8.00E-04,0,0,0,0.001333333,0.011533333,4.00E-04,0.000666667,0.001733333,0,0,6.67E-05,0.000466667,0,0,0,0.000133333,0.041066667,0.0132,0,0,0,0.003066667,0.0068,0.029333333,0.0016,0.093333333,0,0,0.049666667,0,0,2.00E-04,0,6.00E-04,0.000666667,0,0,0.000333333,6.67E-05,0,0,0.000466667,0.003133333,0.003933333,0.0096,0,0,0.000466667,0.0018,0,0.000733333,0.000933333,0,0,0.007733333,0,0,2.00E-04,0.000733333,0.001066667,0,0,0,0,0,0,6.00E-04,0.003333333,0.007266667,0.003733333,0,2.00E-04,6.67E-05,0,0,0,0.000333333,0.000266667,0.000133333,0,0,0,0.000133333,0,0,0.001333333,0.0012,0,0,0,0,0.059,0,6.00E-04,0.001066667,0,0.0074,0.000466667,0,0.000466667,0.000333333,6.67E-05,0,0.000133333,0,0,0,0,0,4.00E-04,0,0.0034,0.002066667,0.0014,0.000333333,0.004933333,6.67E-05,2.00E-04,0,HC
SRR16805131,4.00E-04,6.67E-05,0,0,0,0.000133333,0.000466667,0,0.006733333,6.67E-05,0.002866667,0,0.010133333,0.002066667,0.000333333,0.005533333,0.0024,0.000466667,6.67E-05,4.00E-04,0.000733333,0,0.000133333,0.003466667,6.67E-05,0,4.00E-04,0,0.0052,0.007466667,0,0,0,0,0.000666667,0.000133333,0,0,0.000533333,0.000333333,0,0.003333333,0.000333333,0,4.00E-04,0.0038,0,0,0.007466667,0.003733333,6.00E-04,0,8.00E-04,0,0,0,0.0092,0.000266667,0.003933333,0.0084,0,0.002066667,0.003533333,0.006866667,0.002733333,0.015533333,0.011933333,0.001066667,0,0.000266667,0.011066667,0.002933333,0.000466667,0.001133333,0.024266667,0.015333333,0.012733333,0.151666667,0.002866667,4.00E-04,0.001933333,0.003,0,0.0012,0.002466667,0,0.001466667,0,0.001066667,0,6.67E-05,0.000666667,0,0.000866667,0.000266667,0.000933333,0.0408,0.002266667,0.003666667,0.011066667,0.000133333,6.00E-04,6.00E-04,0.0076,0.000133333,0,0,0.0018,6.67E-05,0,0,0.002933333,6.67E-05,0.001533333,0.0052,0.033666667,0.003133333,0.004733333,0,0,0.0138,0,0,0.000533333,0,0,0.001933333,0.000133333,0,0.000266667,0.0018,0.000133333,0,2.00E-04,0.023666667,0.0758,0.0012,0,0,0.005066667,0.002666667,0,0.001066667,0.010933333,0,0,0.0072,0,0.006333333,0.003666667,0.001133333,0.004,0.000666667,0,2.00E-04,0,0,0,0,0.008133333,0.038266667,0.004866667,0,0.001133333,8.00E-04,0,0.002133333,0,0.001466667,4.00E-04,6.67E-05,0,0.000133333,0.000133333,0.000266667,0.000266667,0.000533333,0.003933333,0.010866667,0.000866667,0.001666667,6.67E-05,0,0.069666667,0,0.0042,0.009266667,0,0.016733333,6.67E-05,0,0.002466667,0.000533333,0,2.00E-04,0.004533333,0.000266667,0.004533333,0,0.000133333,2.00E-04,0.002,0.001933333,0.000533333,0.0302,0.004466667,0.001533333,0.015533333,0.000533333,0.000733333,0,HC
SRR16805132,0.001533333,6.67E-05,2.00E-04,0.000266667,0,0.000333333,0.002466667,0.001,0.011866667,0.000133333,0.0076,0,0.029066667,0.008866667,0.000133333,0.0024,0.001266667,0,6.67E-05,0.000666667,0.000466667,6.67E-05,0,6.67E-05,0,0,0.000933333,0,0.000533333,0.005,6.67E-05,0,0.000133333,0,0.000333333,0,0,0,0.001,0.000133333,0,0.000466667,0.0012,0,0.001,0.0018,0,0,0.003066667,6.00E-04,2.00E-04,0,2.00E-04,0,6.00E-04,0,0.002133333,0.000733333,0.003,0.005666667,0,0.000933333,0.002,0.002266667,0.0032,0.0038,0.004133333,6.00E-04,0,6.00E-04,0.0058,0.004,0.000933333,0.000133333,0.0102,0.008133333,0.017466667,0.209066667,0.002,0.000333333,0.001533333,2.00E-04,0,0.001,4.00E-04,0,0.001133333,0,0.000733333,0.0012,0.000133333,0,6.00E-04,0,0,8.00E-04,0.0096,0.001533333,0.001466667,0.003733333,6.00E-04,2.00E-04,0.000466667,0.0016,0,0.000133333,0,6.67E-05,6.67E-05,0,0,0.0014,0,0.013666667,0.002,0.028533333,0.004866667,0.0166,6.67E-05,0,0.015466667,0,0,0.000266667,0,0,0.000533333,0.000933333,0.000133333,0,0.000266667,0,0,0.001,0.002333333,0.008733333,0.001266667,0,0.000333333,0.001533333,0.003866667,0.001133333,6.67E-05,0.002,0,0,0.0158,0,0.001666667,0.000333333,0.001,0.002133333,8.00E-04,0,0,0,0,0,0,0.0346,0.144466667,0.083066667,0,4.00E-04,2.00E-04,0,0.002133333,0,0.000533333,6.67E-05,0.000133333,0,0,0,0,0.000333333,0.000266667,0.008866667,0.003933333,0.001266667,0,0.000333333,0,0.076333333,0,0.005,0.005333333,0,0.0156,0,0.000133333,2.00E-04,6.00E-04,0,2.00E-04,0.001133333,0,6.00E-04,0,0.000133333,0.000466667,0.001666667,0,0.000666667,0.003733333,0.004466667,0.001066667,0.0158,6.67E-05,0.000266667,2.00E-04,HC
SRR16805133,0.000666667,0.000133333,0,0,0.000533333,2.00E-04,0,6.00E-04,0.006866667,6.67E-05,0.001533333,0.001466667,0.0282,0.026,0.000133333,0.009066667,0.000733333,0.000533333,0.000333333,0,0,0.000133333,0,0.000933333,4.00E-04,0.000666667,6.00E-04,0,0.002066667,0.014733333,0.0014,0.000866667,0,0,0.000466667,2.00E-04,0,0.000266667,0.000666667,0,0.000133333,0.001266667,0.002533333,0,0.003466667,0.005066667,2.00E-04,0,0.003133333,0.0014,0.001266667,0,0.0018,6.00E-04,0.0014,2.00E-04,0.010466667,0.0018,0.001866667,0.012333333,0,0.0068,0.0046,0.008333333,0.0022,0.0054,0.014466667,0.000933333,0,6.67E-05,0.0034,0.004,2.00E-04,0.0012,0.005866667,0.012466667,0.001266667,0.052666667,0.004733333,0.0072,0.0012,6.00E-04,0,0.002533333,0.001,6.67E-05,0.000866667,0,0,0,0,0.001666667,0,0.002,0.000866667,0.0012,0.024,0.003866667,0.0124,0.0096,0.002733333,0.000333333,8.00E-04,0.011533333,0,6.67E-05,0,0.000466667,0,0,0.000466667,0.0046,0.0012,0.0018,0.0128,0.014533333,0.006266667,0.025466667,0.000266667,0,0.024,0,0,0.000466667,0,0,0.001533333,0.000466667,6.67E-05,0.000533333,0.000933333,0.000266667,0.000466667,0.0012,0.046466667,0.088333333,0.004533333,0,0,0.001,0.009733333,8.00E-04,0.001666667,0.012333333,6.00E-04,0,0.0152,6.67E-05,0.001733333,0.000866667,0.001666667,0.000866667,0.000733333,0,0.000266667,0,0,0,0.000466667,0.004733333,0.011066667,0.005666667,2.00E-04,0.0032,0.000666667,0,0.004066667,0,0.001733333,0,0.0012,0.000266667,0.000266667,0,0.000333333,6.67E-05,0.000266667,0.003733333,0.002133333,8.00E-04,0,6.00E-04,4.00E-04,0.035133333,0,0.0018,0.002733333,4.00E-04,0.0052,0.0048,6.00E-04,0.0036,0.0022,0.001533333,0.004466667,0.0034,0.000533333,0.0052,0,0,0.002333333,0.001933333,0,0.000933333,0.004066667,0.002133333,0.002133333,0.0162,0.000466667,0.003066667,0,HC
SRR16805134,0.001,0,0,0,0,0,0,0,0.001,0,0,6.67E-05,0.009333333,0.003,0,0.000266667,0,0,6.67E-05,0,0,0,0,0,0.000133333,0,0.000466667,0,0,4.00E-04,0,0,0,0,0.000733333,0.002466667,0,0,6.67E-05,0,0,0,0,6.67E-05,8.00E-04,0.008133333,0,0,0.000266667,0,0,0,0,0.000466667,6.00E-04,0,0,0,0,0.005,0,0,0,0.001,0,0,0.000733333,0.000533333,0,6.00E-04,0.009266667,0.003866667,0.016666667,0,0.000866667,0.001133333,0.002333333,0.284466667,0.001133333,0,0,0,0,0.000333333,0,0,0,0,0,0.000333333,0.000266667,0.000133333,0,0,0,0.000333333,0.001066667,0,0.002066667,6.00E-04,0.002533333,0,0.000266667,0,0,0,0,0,6.67E-05,0,0,0,2.00E-04,0.000266667,0.007533333,0.069666667,2.00E-04,0.048466667,0,0,0.005,0,0,6.67E-05,0,0,0,0.000133333,2.00E-04,0,0,0,0,0.000733333,0.000333333,0.001333333,0.006866667,0,0,0,4.00E-04,0.000266667,0,0.000266667,0,0,6.00E-04,0,0,0,6.67E-05,0,0,0,0,0,0,0,0,0.003133333,0.004533333,0.001933333,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003466667,2.00E-04,0.000466667,0,0,0,0.4092,0,0.000333333,0.001533333,0,0.024133333,0,0.000266667,0,0.001,0,0,0,0,0,0,0,0,6.67E-05,0,0.0016,0.001533333,0,2.00E-04,0.002933333,0,0.000266667,0,HC
