Group,Eubacterium.brachy,Actinomyces.naeslundii,Actinomyces.oris,Actinomyces.viscosus,Alloprevotella.rava,Alloprevotella.tannerae,Anaeroglobus.geminatus,Blautia.wexlerae,Campylobacter.concisus,Campylobacter.gracilis,Campylobacter.massiliensis,Candidatus.Peptostreptococcus,Corynebacterium.durum,Dialister.invisus,Dialister.pneumosintes,Escherichia.fergusonii,Eubacterium.nodatum,Faecalibacterium.prausnitzii,Filifactor.alocis,Fretibacterium.fastidiosum,Fusobacterium.animalis,Fusobacterium.hwasookii,Fusobacterium.nucleatum,Fusobacterium.polymorphum,Fusobacterium.pseudoperiodonticum,Fusobacterium.vincentii,Fusobacterium.watanabei,Gemella.morbillorum,Gemella.sanguinis,Gemella.taiwanensis,Granulicatella.adiacens,Haemophilus.parahaemolyticus,Haemophilus.parainfluenzae,Haemophilus.paraphrohaemolyticus,Haemophilus.pittmaniae,Haemophilus.sputorum,Lachnoanaerobaculum.gingivalis,Lancefieldella.parvula,Lautropia.mirabilis,Leptotrichia.buccalis,Leptotrichia.hongkongensis,Leptotrichia.massiliensis,Leptotrichia.wadei,Ligilactobacillus.salivarius,Megasphaera.micronuciformis,Moryella.indoligenes,Natranaerovirga.pectinivora,Neisseria.mucosa,Neisseria.perflava,Neisseria.subflava,Parvimonas.micra,Peptostreptococcus.stomatis,Phocaeicola.vulgatus,Porphyromonas.endodontalis,Prevotella.denticola,Prevotella.intermedia,Prevotella.nigrescens,Prevotella.veroralis,Pseudostreptobacillus.hongkongensis,Romboutsia.timonensis,Rothia.dentocariosa,Rothia.mucilaginosa,Ruminiclostridium.cellobioparum,Schaalia.odontolytica,Segatella.oris,Solobacterium.moorei,Streptococcus.anginosus,Streptococcus.constellatus,Streptococcus.cristatus,Streptococcus.gordonii,Streptococcus.ilei,Streptococcus.intermedius,Streptococcus.mutans,Streptococcus.parasanguinis,Streptococcus.periodonticum,Streptococcus.rubneri,Streptococcus.salivarius,Streptococcus.sanguinis,Veillonella.atypica,Veillonella.denticariosi,Veillonella.nakazawae,Veillonella.parvula,Veillonella.rogosae,Veillonella.tobetsuensis,set
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,0.14,0,0,0,5.36,0,0,0,3.593333333,0,0,0,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0.773333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0.22,0,0,0,2.746666667,0,0,0.186666667,3.36,0,14.54666667,0,9.02,0,6.86,0,0,0,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.313333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0.433333333,0,0,5.82,0,0.773333333,0,2.14,0,0,0,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.393333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72,0,0.906666667,0,0,0,0,0,0,2.653333333,0,0.1,1.153333333,24.56666667,0,9.966666667,0,0,0,0,0,0,0,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.146666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.786666667,0,1.893333333,0,0,0,0,0.306666667,0,5.766666667,0,0,0,3.113333333,0,24.14666667,0,0,0,4.786666667,0,0,0,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.973333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.186666667,0,0,0,0,0,0,0,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.006666667,0,0,0,4.2,0,0,0,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453333333,5.613333333,0,0,0,0,0,0,0,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.613333333,0,1.126666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.953333333,0,0,0,0,0,0,0,0,0,0.78,0,0,0.313333333,1.92,0.34,1.2,0,0,0,0,0,0,0,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033333333,0,0,0,0,0,t1
HC,0,0,0,0.333333333,0,0,0,0,1.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.446666667,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213333333,0,0,0,0,0,0,3.986666667,0,0,0,0,0.253333333,15.56,0,3.78,0,5.073333333,0,0,0.1,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0.766666667,0,0.08,0,1.106666667,0,0,0.12,t1
HC,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.62666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206666667,0,0,0,0,1.366666667,0,1.066666667,0,0,0,5.293333333,0,0,0,0,0,0,0,0,0.64,t1
